The NIST Post-Quantum Cryptography Standardization Process began in 2017 with 69 candidate algorithms that met both the minimum acceptance criteria and submission requirements. The first round lasted until January 2019 during which candidate algorithms were evaluated based on their security performance and other characteristics. NIST selected 26 algorithms to advance to the second round for more analysis. This report describes the evaluation and selection process based on public feedback and internal review of the second-round candidates. The report summarizes the 26 second-round candidate algorithms and identifies those selected to move forward to the third round of the competition. The third-round finalist public-key encryption and key-establishment algorithms are Classic McEliece CRYSTALS-KYBER NTRU and SABER. The third-round finalists for digital signatures are CRYSTALS-DILITHIUM FALCON and Rainbow. These finalists will be considered for standardization at the end of the third round. In addition eight alternate candidate algorithms will also advance to the third round: BIKE FrodoKEM HQC NTRU Prime SIKE GeMSS Picnic and SPHINCS+. These additional candidates are still being considered for standardization although this is unlikely to occur at the end of the third round. NIST hopes that the announcement of these finalists and additional candidates will serve to focus the cryptographic community’s attention during the next round,2020
The notion of zero-knowledge [20] is formalized by requiring that for every malicious efficient verifier V * there exists an efficient simulator S that can reconstruct the view of V * in a true interaction with the prover in a way that is indistinguishable to every polynomial-time distinguisher. Weak zero-knowledge weakens this notions by switching the order of the quantifiers and only requires that for every distinguisher D there exists a (potentially different) simulator S D .In this paper we consider various notions of zero-knowledge and investigate whether their weak variants are equivalent to their strong variants. Although we show (under complexity assumption) that for the standard notion of zero-knowledge its weak and strong counterparts are not equivalent for meaningful variants of the standard notion the weak and strong counterparts are indeed equivalent. Towards showing these equivalences we introduce new non-black-box simulation techniques permitting us for instance to demonstrate that the classical 2-round graph non-isomorphism protocol of Goldreich-Micali-Wigderson [18] satisfies a “distributional” variant of zero-knowledge.Our equivalence theorem has other applications beyond the notion of zero-knowledge. For instance it directly implies the dense model theorem of Reingold et al (STOC ’08) and the leakage lemma of Gentry-Wichs (STOC ’11) and provides a modular and arguably simpler proof of these results (while at the same time recasting these result in the language of zero-knowledge).,2015
In this paper we address the construction of privacy-friendly cryptographic primitives for the post-quantum era and in particular accumulators with zero-knowledge membership proofs and ring signatures. This is an important topic as it helps to protect the privacy of users in online authentication or emerging technologies such as cryptocurrencies. Recently we have seen first such constructions mostly based on assumptions related to codes and lattices. We however ask whether it is possible to construct such primitives without relying on structured hardness assumptions but solely based on symmetric-key primitives such as hash functions or block ciphers. This is interesting because the resistance of latter primitives to quantum attacks is quite well understood.In doing so we choose a modular approach and firstly construct an accumulator (with one-way domain) that allows to efficiently prove knowledge of (a pre-image of) an accumulated value in zero-knowledge. We thereby take care that our construction can be instantiated solely from symmetric-key primitives and that our proofs are of sublinear size. Latter is non trivial to achieve in the symmetric setting due to the absence of algebraic structures which are typically used in other settings to make these efficiency gains. Regarding efficient instantiations of our proof system we rely on recent results for constructing efficient non-interactive zero-knowledge proofs for general circuits. Based on this building block we then show how to construct logarithmic size ring signatures solely from symmetric-key primitives. As constructing more advanced primitives only from symmetric-key primitives is a very recent field we discuss some interesting open problems and future research directions. Finally we want to stress that our work also indirectly impacts other fields: for the first time it raises the requirement for collision resistant hash functions with particularly low AND count.,2018
In last years there has been an increasing effort to leverage distributed ledger technology (DLT) including blockchain. One of the main topics of interest given its importance is the research and development of privacy mechanisms as for example is the case of zero knowledge proofs (ZKP). ZKP is a cryptographic technique that can be used to hide information that is put into the ledger while still allowing to perform validation of this data. In this work we describe different strategies to construct zero knowledge range proofs (ZKRP) as for example the scheme proposed by Boudot (in: Bart (ed) Advances in cryptology—EUROCRYPT 2000 Springer Berlin 2000) in 2001; the one proposed by Camenisch et al. (in: Josef (ed) Advances in cryptology—ASIACRYPT 2008 Springer Berlin 2008) and bulletproofs (Bünz et al. in: 2018 IEEE symposium on security and privacy (SP) 2018) proposed in 2017. We also compare these strategies and discuss possible use cases. Since bulletproofs (Bünz et al. 2018) is the most efficient construction we will give a detailed description of its algorithms and optimizations. Bulletproofs is not only more efficient than previous schemes but also avoids the trusted setup which is a requirement that is not desirable in the context of DLT and blockchain. In case of cryptocurrencies if the setup phase is compromised it would be possible to generate money out of thin air. Interestingly bulletproofs can also be used to construct generic ZKP in the sense that it can be used to prove generic statements and thus it is not only restricted to ZKRP but it can be used for any kind of proof of knowledge. Hence Bulletproofs leads to a more powerful tool to provide privacy for DLT. Here we describe in detail the algorithms involved in Bulletproofs protocol for ZKRP. Also we present our implementation which was open sourced (Morais et al. in: Zero knowledge range proof implementation 2018. https://github.com/ing-bank/zkrangeproof).,2019
Blockchain which is usually regarded as a public decentralized and distributed ledger has attracted significant attention recently. In the environment of blockchain all historical transaction data are recorded and stored. However because blockchain is open and transparent a malicious user may illegally access private transaction data including transaction amount account address and account balance. As a cryptographic technique zero-knowledge proof (ZKP) can be used to verify whether the prover has enough transaction amount in the environment of blockchain without leaking any private transaction data. This article provides a comprehensive survey on ZKP in the environment of blockchain with the aim of highlighting security problems and challenges. It first discusses the framework models and applications of ZKP. Next it provides an introduction of blockchain and proposes a framework of ZKP in the environment of blockchain. Then it highlights the current state of ZKP in the environment of blockchain. Finally it identifies some potential problems and future research directions.,2021
In recent years there has been a substantial amount of research on quantum computers – machines that exploit quantum mechanical phenomena to solve mathematical problems that are difficult or intractable for conventional computers. If large-scale quantum computers are ever built they will be able to break many of the public-key cryptosystems currently in use. This would seriously compromise the confidentiality and integrity of digital communications on the Internet and elsewhere. The goal of post-quantum cryptography (also called quantum-resistant cryptography) is to develop cryptographic systems that are secure against both quantum and classical computers and can interoperate with existing communications protocols and networks. This Internal Report shares the National Institute of Standards and Technology (NIST)’s current understanding about the status of quantum computing and post-quantum cryptography and outlines NIST’s initial plan to move forward in this space. The report also recognizes the challenge of moving to new cryptographic infrastructures and therefore emphasizes the need for agencies to focus on crypto agility.,2016
Zero-knowledge proof system is an important protocol that can be usedas a basic block for construction of other more complex cryptographic protocols. Anintrinsic characteristic of a zero-knowledge systems is the assumption that is impossible for the verifier to show to a third party that he has interacted with the prover.However it has been shown that using quantum correlations the impossibility of transferring proofs can be successfully attacked. In this work we show two new protocolsfor proof transference being the first one based on teleportation and the second onewithout using entangled states. In this last case we assume that the third party can communicate in advance with both verifier and prover. Following we present a quantumzero-knowledge protocol based on quantum bit commitment that can be implementedwith today technology.,2009
Port Knocking is a method for authenticating clients through a closed stance firewall and authorising their requested actions enabling severs to offer services to authenticated clients without opening ports on the firewall. Advances in port knocking have resulted in an increase in complexity in design preventing port knocking solutions from realising their potential. This paper proposes a novel port knocking solution named Crucible which is a secure method of authentication with high usability and features of stealth allowing servers and services to remain hidden and protected. Crucible is a stateless solution only requiring the client memorise a command the server’s IP and a chosen password. The solution is forwarded as a method for protecting servers against attacks ranging from port scans to zero-day exploitation. To act as a random oracle for both client and server cryptographic hashes were generated through chaotic systems.,2020
This paper describes the design and analysis of a new scheme for the authenticatedexchange of confidential information in insecure environments within the Internet of Things whichallows a receiver of a message to authenticate the sender and compute a secret key shared with it.The proposal is based on the concept of a non-interactive zero-knowledge proof so that in a singlecommunication relevant data may be inferred to verify the legitimacy of the sender. Besides the newscheme uses the idea under the Diffie–Hellman protocol for the establishment of a shared secret key.The proposal has been fully developed for platforms built on the Android Open Source Project so itcan be used in any device or sensor with this operating system. This work provides a performancestudy of the implementation and a comparison between its promising results and others obtainedwith similar schemes.,2016
"As one of the most important trusted third-party-based authentication protocols Kerberos is widely used to provide authentication service in distributed networks. However it is vulnerable to common brute force password-guessing attacks because of its password-based mechanism. Some enhanced Kerberos protocols based on public key cryptography were proposed as solutions but they require excessive computation and communication resources. In this paper a new enhanced Kerberos protocol with non-interactive zero-knowledge proof is proposed in which the clients and the authentication server can mutually authenticate each other without revealing any information during the authentication process. Our security analysis and experimental results have shown that the proposed scheme can resist password-guessing attacks and is more convenient and efficient than previous schemes. ",2015
