Keyphrase,Occurences
cryptographic,7
quantum,7
zero-knowledge,6
technology,5
security,5
algorithms,5
development,4
proofs,4
schemes,4
attacks,4
classical,4
blockchain,3
importance,3
research,3
prove,3
proof,3
knowledge,3
protocol,3
hardware,3
standards,3
cryptography,3
nist,3
protocols,3
functions,3
system,3
distributed,2
ledger,2
dlt,2
privacy,2
mechanisms,2
zkp,2
technique,2
validation,2
strategies,2
zkrp,2
boudot,2
bulletproofs,2
efficient,2
optimizations,2
trusted,2
requirement,2
desirable,2
context,2
cryptocurrencies,2
compromised,2
generate,2
generic,2
statements,2
implementation,2
systems,2
candidates,2
round,2
theory,2
relationship,2
provides,2
exponential,2
random,2
oracle,2
application,2
hash,2
computation,2
challenge,2
break,2
developing,2
post-quantum-cryptographic,2
pqc,2
standardize,2
quantum-resistant,2
objective,2
hardware-based,2
high-level,2
synthesis,2
hls-based,2
design,2
methodology,2
c,2
fpga,2
implementations,2
