Keyphrase,Occurrences
zero-knowledge,16
security,16
proof,15
performance,12
quantum,11
implementation,9
classical,9
efficient,8
secure,8
post-quantum,8
blockchain,7
protocols,7
schemes,7
cryptographic,6
technology,6
system,6
algorithm,6
privacy,6
protocol,6
existing,6
proofs,6
attacks,6
nist,6
post-quantum-cryptography,6
standardization,6
state,5
encryption,5
design,5
systems,5
knowledge,5
verification,5
state-of-the-art,5
analysis,5
propose,5
lattice-based,5
underlying,5
technique,4
zkp,4
prover,4
applications,4
cost,4
implemented,4
computing,4
speed,4
verifiers,4
functions,4
secret,4
processor,4
optimized,4
leakage,4
platform,4
round,4
operations,4
pqc,4
side-channel,4
implementations,4
cryptography,4
account,3
provides,3
framework,3
potential,3
research,3
issues,3
efficiency,3
authentication,3
standard,3
traditional,3
mechanism,3
attack,3
network,3
methods,3
works,3
authenticity,3
simulation,3
application,3
scale,3
signatures,3
np,3
one-way,3
learning,3
provers,3
verifier,3
solutions,3
performed,3
arithmetic,3
novel,3
soundness,3
non-black-box,3
black-box,3
communication,3
candidates,3
kyber,3
public-key,3
algorithms,3
designing,3
architecture,3
fpga,3
crystals-dilithium,3
signature,3
promising,3
candidate,3
crystals-kyber,3
finalists,3
decentralized,2
distributed,2
ledger,2
attention,2
recently,2
environment,2
stored,2
because,2
transparent,2
malicious,2
user,2
access,2
amount,2
leaking,2
comprehensive,2
discusses,2
introduction,2
maintain,2
management,2
scalability,2
transactions,2
increase,2
identity,2
method,2
drawbacks,2
others,2
mechanisms,2
designed,2
randomness,2
resources,2
energy,2
withstand,2
51%,2
development,2
iot,2
server,2
experiments,2
experimental,2
barriers,2
networks,2
ring,2
requirements,2
version,2
parameters,2
computation,2
execution,2
remains,2
deployment,2
need,2
verifying,2
vehicles,2
related,2
scenarios,2
researchers,2
applicability,2
sensitive,2
identification,2
settings,2
non-interactive,2
implement,2
blockchain-based,2
computational,2
hardness,2
fully,2
-zero-knowledge,2
simulator,2
message,2
oracle,2
function,2
smart,2
prove,2
power,2
constant-round,2
public-coin,2
difference,2
trust,2
connect,2
solution,2
discrete,2
terms,2
contains,2
crucial,2
executions,2
submissions,2
theoretical,2
field,2
resistant,2
areas,2
paradigms,2
shors,2
hardware,2
lattices,2
high-performance,2
outperforms,2
digital-signature,2
dilithium,2
targeting,2
accelerate,2
solving,2
threat,2
quantum-resistant,2
modular,2
low-cost,2
optimizations,2
lbc,2
trade-off,2
decryption,2
primitives,2
rsa,2
elliptic,2
curve,2
utilization,2
efficiently,2
standards,2
circuit,2
